name	FE_cont	FE_cont	FE_cont	FE_cont	FE_test	FE_test	FE_test	FE_test	CW_cont	CW_cont	CW_cont	CW_cont	CW_test	CW_test	CW_test	CW_test	PK_cont	PK_cont	PK_cont	PK_cont	PK_test	PK_test	PK_test	PK_test	PK_test	PK_test	PK_test	PK_test	KC_before	KC_before	KC_before	KC_before	KC_After	KC_After	KC_After	KC_After
5_Aminovaleric_acid	1.273717059	1.078354327	1.488131765	1.3388088	0.906711176	0.5161266	0.194752353	0.217173529	11.67971462	0.041078036	5.430631765	3.424123585	1.137498462	1.65927	0.0396519	0.013967547	4.845362077	2.751086827	2.194621111	3.649766818	4.50031875	3.550085948	7.116761311	2.508644464	1.3960137	2.454251518	1.638549375	2.158923824	40.3415061	37.4951208	0.412148333	0.179018365	27.63263611	15.85641058	0.476595	0.380936441
5_Methoxytryptamine	0.108983235	0.051272308	0.113159706	0.2152356	0.099942353	0.1703331	0	0	0.021766415	0.036609375	0.039465588	0.031729528	0.030528173	0.007366875	0.0352341	0	0.462734538	0.515203846	0.057051111	0.143075909	0.06622275	0.035383707	0.04082459	0.121761964	0.0830241	0.087368036	1.597865859	0.140651471	0.1579107	0.1556739	0.049253056	0.081660288	0.265935833	0.379360096	0.075148868	0.058506864
Nicotinic_acid	0.109007059	0.122907692	0.071131176	0.114309	0.041845	0.0528462	0.071153824	0.178854412	1.15699783	1.653994286	2.874925882	2.550387736	2.533131058	1.678292411	1.4047107	2.375441038	0.392796692	0.215232404	0.180900556	0.430001591	0.2488195	0.078823966	0.080251967	0.122505268	0.1535316	0.184890804	0.132899297	0.191787941	1.2137862	0.7795176	0.583266667	0.405615865	0.759574444	1.270169712	0.648271415	0.597401949
3_Aminopropanoic_acid	0.332265	0.300875192	0.281004706	0.301809	0.136929412	0.4412277	0	0.007003529	0.58755566	0.307680268	0.75685	1.125545377	0.400347115	0.465022768	0.1808595	0.033395094	1.314070846	0.872027596	0.695756667	2.941697727	1.35388175	0.878160259	0.689322295	1.445242232	1.0749744	0.654992946	1.695443906	1.960307647	2.3670876	6.7923918	0.9727925	0.390087404	2.662738611	0.837351635	0.945411792	0.421698814
Cysteine	0.817213824	0.265724423	0.916543824	1.196136	0.317345294	1.248696	0.188677941	0.076933824	0.214107453	0.021414911	0.077014412	0.082368679	0.025874423	0.094456339	0.0649659	0.017434528	0.498733154	0.382744327	0.269993333	0.1906975	0.2176745	0.274924397	0.215359672	0.175433036	0.1707939	0.207851786	0.539403047	0.465517941	0.1908033	0.1657536	0.068968889	0.052551346	0.121167778	0.144539423	0.072572264	0.041333136
Glutamic_acid	41.73374382	9.792631154	25.23884588	42.2009334	13.05834412	35.0270973	0.759226471	0.921321176	9.20267066	3.553327232	6.779743824	6.031639811	0.454937885	1.261384286	1.6681131	0.106483019	2.635119692	3.138327981	5.177660278	3.075700227	3.0020785	6.403278879	3.575149426	2.527986964	1.5152901	2.971030982	6.803246953	2.411637941	10.0762113	5.4338403	3.511211944	1.220236154	3.258496111	3.935904808	0.287385	0.483029492
5_Oxoproline	14.60135647	10.41110365	22.54286176	24.0788079	8.714334412	21.5480958	25.21998971	42.43979353	6.016090189	2.685575893	4.557225882	3.68331566	1.172545096	2.387512232	2.9152428	2.844386321	0.284391	0.304555673	0.341721389	0.265597273	0.23991325	0.455779138	0.287075902	0.296772589	0.2384577	0.274361518	0.416001094	0.245360294	0.8970069	0.9184125	0.748205278	0.571080865	0.876829167	1.016014904	0.269636604	0.320932119
3_Hydroxybutyric_acid	0.016793824	0	0	0.0355227	0.013900588	0	0	0.027620294	0.490308113	0.481075982	0.307609706	0.837574811	0.141266538	0.177985446	0.6463992	0.01299283	6.038363308	1.957088654	2.034001667	2.0114925	2.548419	0.603320172	0.758613443	0.778749107	0.5210112	1.651339554	0.996106406	1.033939412	0.0763053	0.0785601	0.086179722	0.079714904	0.0422875	0.092007115	0.096772925	0.109171271
3_Aminoglutaric_acid	52.84885676	15.53873423	43.29075588	49.8093237	15.24097853	58.3804125	26.78281088	29.04527794	2.498849151	0.830945625	0.685068235	0.354184528	0.171274615	1.029017411	0.6231591	0.169759528	0.754107231	1.33539375	2.067254444	1.001551591	0.8794575	1.639032931	1.350461803	0.906747321	0.8469033	1.187846786	3.06209625	0.847413529	0.8750043	0.738843	0.45489	0.146025	0.312285278	0.305317788	0.038263019	0.055560508
Ribose	0.093922941	0.15945375	0.021061471	0.3192618	0.134330294	0.0445866	0.055026765	0.254748824	0.378044434	0.202650268	0.268191765	0.221921321	0.180681058	0.214300446	0.156468	0.181023679	1.288458	0.808444038	0.235481944	0.508049773	0.953864	0.822568707	0.179026967	1.641294375	0.3540111	0.460663929	0.6770325	0.873738824	14.436558	5.8232094	21.55715722	1.521569423	7.951145833	9.715007885	1.98029066	5.299678983
Blautia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.842481491	3.702841174	2.287747839	0.699975863	1.237175619	2.505753004	4.044204091	0.983899821	0.488400488	0.704390702	1.95599022	4.973003694	0.108410877	0.095343544	0.025540827	0.042172112	0	0.433153575	0	0
Homocysteine	1.944232353	0.780940385	1.536288529	1.6071654	0.934362941	1.8191094	0.563869706	0.472103824	0.039281038	0.018108482	0.025623824	0.037972075	0	0.029119018	0.0165267	0.01334066	0.094192846	0.040284519	0.027578611	0.034192727	0.06095375	0.075771724	0.035164426	0.070222768	0	0.034080268	0.032202891	0	0	0	0	0	0	0	0	0
Pyridoxal_phosphate	0	0	0	0	0	0	0	0	0	0	0	0.448895943	0	0	0	0	9.944869385	5.478220673	3.011224722	9.250864091	7.28698625	3.967053362	3.225692213	6.061089107	4.4394285	4.292804732	37.59527016	7.353806176	0.1738191	0.2413644	0.352433611	0.392415288	0.413841944	0.662168077	0.286646604	1.083998898
